File -> Method -> CC
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> getFactor -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> setFactor -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> getQuestionnaire1 -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> setQuestionnaire1 -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> getQuestionnaire2 -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\ReqCache.java -> setQuestionnaire2 -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> getName -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> setName -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> toString -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> equals -> 5
..\DB\src\main\java\ru\bmstu\iu7\impl\model\Tag.java -> hashCode -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> getName -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> setName -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> getAge -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> setAge -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> isGender -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> setGender -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> getPassword -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> setPassword -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> getRole -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\User.java -> equals -> 5
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> getId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> setId -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> setWeight -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> setQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> getQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> setTag -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> getWeight -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\model\VariantAnswer.java -> getTag -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\ModelFactory.java -> makeQuestion -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\ModelFactory.java -> makeTag -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\ModelFactory.java -> makeUser -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\ModelFactory.java -> makeVariantAnswer -> 1
..\DB\src\main\java\ru\bmstu\iu7\impl\QuestionTagDto.java -> getTagName -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> findUserQuestionnaires -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> createQuestionnaire -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> update -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> delete -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> findQuestionnaire -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> get_all_questions -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> deleteQuestionnaire -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> get_all_questionnaires -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> deleteUserQuestionnaires -> 1
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> appendQuestion -> 2
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> appendTag -> 2
..\DB\src\main\java\ru\bmstu\iu7\QuestionnaireRepository.java -> findTag -> 1
..\DB\src\main\java\ru\bmstu\iu7\ReqCacheRepository.java -> insert -> 2
..\DB\src\main\java\ru\bmstu\iu7\ReqCacheRepository.java -> delete -> 1
..\DB\src\main\java\ru\bmstu\iu7\ReqCacheRepository.java -> findAll -> 1
..\DB\src\main\java\ru\bmstu\iu7\ReqCacheRepository.java -> ClearAll -> 1
..\DB\src\main\java\ru\bmstu\iu7\ReqCacheRepository.java -> deleteOneCache -> 1
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> createUser -> 3
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> findUser -> 2
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> update -> 1
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> findAll -> 1
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> saveUser -> 1
..\DB\src\main\java\ru\bmstu\iu7\UserRepository.java -> findById -> 1
..\DB\src\test\java\ru\bmstu\iu7\config\RandomClassOrderer.java -> orderClasses -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> defaultQuestionnaire -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> createDefaultInfo -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> withId -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> withUser -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> withInfo1 -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> withInfo2 -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AQuestionnaireBuilder.java -> build -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AUserBuilder.java -> defaultAUser -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AUserBuilder.java -> withId -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\AUserBuilder.java -> build -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> defaultQuestion -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> withId -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> withQuestionText -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> withTags -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> withIsExtended -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionBuilder.java -> build -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionMother.java -> extendedQuestion -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionnaireMother.java -> lenaQuestionnaire -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionnaireMother.java -> ivanQuestionnaire -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\QuestionnaireMother.java -> lenaQuestionnaireEntity -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\TagBuilder.java -> withId -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\TagBuilder.java -> withName -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\TagBuilder.java -> build -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\TagMother.java -> defaultTag -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\TagMother.java -> defaultATag -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\UserBuilder.java -> defaultUser -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\UserBuilder.java -> withId -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\UserBuilder.java -> build -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\UserMother.java -> lenaUser -> 1
..\DB\src\test\java\ru\bmstu\iu7\testdata\UserMother.java -> lenaAUser -> 1
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> logInfo -> 2
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> buildPrompt -> 2
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> parseResponseTags -> 3
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> matchTags -> 4
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> parseJson -> 1
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> trimBraces -> 2
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> splitTokens -> 5
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> extractKeyValue -> 3
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> findColon -> 4
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> stripQuotes -> 2
..\ML\src\main\java\ru\bmstu\iu7\ML_port.java -> logError -> 2
