File -> Method -> CC
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java -> setPassword -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java -> getAge -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java -> setAge -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java -> isGender -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\RegisterRequest.java -> setGender -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> getName -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> setName -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> getPassword -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> setPassword -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> getAge -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> setAge -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> getGender -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\UserPatch.java -> setGender -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Main.java -> init -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java -> generateToken -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java -> extractUserId -> 3
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java -> extractUsername -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java -> isTokenExpired -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\util\JwtUtil.java -> getClaims -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> getWeight -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> getAnswer -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> getTags -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> setTags -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> getQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AExtendedAnswer.java -> setQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AInformation.java -> getId -> 1
